Number,Museum,Genus,Species,Sex,Prep,Country,Locality1,Isl_Main,GSL_24,ROST.LEN_26,LACR.W_30,POSTORB.W_32,MASTOID_34,C1.C1_37,M3.M3_38,GLENO.L_44,MAX.TOOTH_h,DEN.L_46,LOW.TR_49,MOM1.COR_52,MOM2.ANG_53,DEN.TH_57,CON.L_60,MASS.MUSC_c,lat,lon,bio15,bio16,bio17,bio4,bio5,bio6,bioalt
18458,ROM,Lasiurus,cinereus,M,Recent,Canada,Ontario,Main,16.82,6.34,8.71,5.21,10.33,4.44,5.28,1.88,4.57,12.9,6.89,3.82,2.85,2.02,1.69,4.01,48.77121,-87.92098,29.83646066,273,122,1104.456802,19.39999962,20.60000038,283
25996,ROM,Lasiurus,cinereus,NA,Recent,Canada,Ontario,Main,17.46,6.44,8.9,5.1,10.65,4.23,5.38,1.79,4.96,13.13,7.21,3.83,3.11,2.18,1.93,4.4,43.6666667,-79.3833333,16.23208186,238,156,961.6986012,24.89999962,10.10000038,119
32149,ROM,Lasiurus,cinereus,M,Recent,Canada,Ontario,Main,17.2,6.5,8.91,5.17,10.49,4.18,5.32,2.16,5.29,13.46,7.06,3.98,3.11,2.3,1.85,4.31,43.6666667,-79.3833333,16.23208186,238,156,961.6986012,24.89999962,10.10000038,119
32291,ROM,Lasiurus,cinereus,F,Recent,Canada,Ontario,Main,17.14,6.83,9.14,5.31,10.33,4.58,5.02,1.96,5.15,12.97,7.07,3.73,2.99,2.07,1.92,4.23,48.42974,-89.25924,36.48322459,257,100,1175.392509,22.5,21,213
33620975,ROM,Lasiurus,cinereus,NA,Recent,Canada,Ontario,Main,15.81,5.89,8.28,5.03,9.82,4.18,5.09,1.74,4.68,12.21,6.65,3.76,3.04,2.07,1.79,4.03,44.67398,-79.37077,15.78579517,304,201,1058.405378,23,14.19999981,216
36122,ROM,Lasiurus,cinereus,F,Recent,Canada,Ontario,Main,17.23,6.64,9.33,5.04,10.49,4.5,5.39,2.13,5.42,13.71,7.31,4.09,3.29,2.07,1.87,4.32,43.7,-79.4333333,16.83209086,245,158,993.7665527,25,11.39999962,181
22967,ROM,Lasiurus,cinereus,F,Recent,Canada,Saskatchwan,Main,18.88,6.21,8.89,4.74,10.3,4.16,4.91,1.84,5.16,13.17,6.93,3.72,3.09,2.2,1.87,4.11,53.5666667,-105.8833333,60.01328919,211,49,1314.950963,21.39999962,24.70000076,513
208651,AMNH,Lasiurus,semotus,F,Recent,USA,Hawaii,Island,14.95,5.69,7.36,4.71,8.96,4,4.34,1.66,4.59,11.76,6.28,3.51,2.48,1.87,1.71,3.68,20.115735,-155.574148,56.32848883,677,267,127.2159403,27.39999962,16,322
276739,AMNH,Lasiurus,semotus,NA,Recent,USA,Hawaii,Island,15.6,6.17,8,5.19,9.45,3.92,4.88,1.79,4.78,12.19,6.57,3.96,2.61,1.67,1.87,3.95,20.02559,-155.65886,49.08463033,639,241,126.7244756,25,12.60000038,843
112947,MVZ,Lasiurus,semotus,M,Recent,USA,Hawaii,Island,15.48,6.08,7.77,5.03,9.44,4.12,4.79,1.89,4.83,12.33,6.76,3.85,2.61,1.54,1.69,4.02,20.09997956,-155.6032654,29.73546818,621,404,127.0349583,27.60000038,16.10000038,25
113294,MVZ,Lasiurus,semotus,F,Recent,USA,Hawaii,Island,15.7,6.11,7.83,4.92,9.42,3.77,4.79,1.77,4.72,12.39,6.86,3.67,2.56,1.52,1.59,3.96,19.42191492,-155.9054318,34.40447283,374,223,112.9527854,29.29999924,18.60000038,49
113386,MVZ,Lasiurus,semotus,F,Recent,USA,Hawaii,Island,15.86,6.16,7.87,4.83,9.57,3.8,4.57,1.8,4.8,12.42,6.99,3.64,2.94,1.69,1.73,3.68,20.10797416,-155.598459,43.79938083,730,251,125.7432619,28.60000038,17,27
113387,MVZ,Lasiurus,semotus,F,Recent,USA,Hawaii,Island,15.57,5.78,7.39,5.12,9.21,3.65,4.99,1.78,4.78,12.49,6.61,3.86,2.78,1.7,1.82,4.07,20.10797416,-155.598459,43.79938083,730,251,125.7432619,28.60000038,17,27
114344,MVZ,Lasiurus,semotus,M,Recent,USA,Hawaii,Island,15.07,5.52,7.05,5.07,9.11,3.65,4.41,1.59,4.38,11.54,6.17,3.71,2.41,1.39,1.36,3.83,19.79369562,-155.8347201,44.87337907,608,300,124.8901179,26.10000038,13.80000019,706
