"Number","Museum","Genus","Species","Ssp","Sex","Prep","Country","Locality1","Isl_Main","GSL_24","ROST.LEN_26","LACR.W_30","POSTORB.W_32","MASTOID_34","C1.C1_37","M3.M3_38","GLENO.L_44","MAX.TOOTH_h","DEN.L_46","LOW.TR_49","MOM1.COR_52","MOM2.ANG_53","DEN.TH_57","CON.L_60","MASS.MUSC_c","Country1","lat","lon","bio4","bio5","bio6","bio15","bio16","bio17","bioalt"
205168,"AMNH","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Oaxaca","Main",16.5,6.89,9.2,5.51,10.35,4.49,5.02,1.91,4.89,12.92,6.55,3.71,3.08,2.03,1.9,4.66,"Mexico",17.05423,-96.71323,152.367047782414,30.1000003814697,12,91.2180343421294,341,15,1538
207428,"AMNH","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Oaxaca","Main",16,6.47,8.17,5.03,9.89,4.12,6.63,2.02,4.89,12.67,6.38,3.79,3.05,1.98,1.64,4.22,"Mexico",17.05423,-96.71323,152.367047782414,30.1000003814697,12,91.2180343421294,341,15,1538
208907,"AMNH","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Oaxaca","Main",16.23,6.91,8.56,5.41,10.14,4.54,5.28,1.81,5.11,12.65,6.6,3.91,2.7,2.08,1.65,4.16,"Mexico",17.05423,-96.71323,152.367047782414,30.1000003814697,12,91.2180343421294,341,15,1538
13132,"EBD","Lasiurus","cinereus","cinereus","F","Recent","Mexico","Sonora","Main",16.94,7,9.13,5.2,10.22,4.6,5.22,2.08,5.53,13.44,7.35,3.84,2.95,1.78,1.71,4.14,"Mexico",31.56231098,-113.4386424,678.682299233225,39.4000015258789,5.40000009536743,61.0307092761298,59,4,310
80297,"KU","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Sonora","Main",16.87,6.4,8.31,5.26,10.56,4.5,5.46,1.96,5.11,13.27,6.26,3.69,2.86,1.79,1.93,4.59,"Mexico",30.900964,-110.856896,634.781517038322,36.9000015258789,0.400000005960464,94.7412894545234,267,26,959
166058,"AMNH","Lasiurus","cinereus","cinereus",NA,"Recent","Mexico","Tamaulipas","Main",15.91,6.16,7.49,5.15,9.98,4.33,4.87,1.86,5.15,13.27,6.27,3.65,2.66,1.73,1.75,4.07,"Mexico",24.266949,-98.836301,506.509882440694,36.4000015258789,8.80000019073486,65.9306501943894,271,60,227
38610,"USNM","Lasiurus","cinereus","cinereus","F","Recent","Mexico","Tamaulipas","Main",16.03,6.12,8.27,4.75,9.73,4.25,4.62,1.9,5.23,12.99,6.58,3.81,2.81,2.08,1.71,4.36,"Mexico",25.83997981,-97.56404212,504.401089336343,34.4000015258789,10.8000001907349,58.6147499462781,298,82,12
82921,"KU","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Veracruz","Main",16.86,6.61,8.21,5.32,10.16,4.42,5.05,1.75,5.11,12.99,6.22,3.81,2.82,1.74,1.79,4.51,"Mexico",20.4316667,-98.3791667,192.52902079977,24.2000007629395,5.69999980926514,80.0620328222448,640,88,2029
13128,"UF","Lasiurus","cinereus","cinereus","M","Recent","USA","Florida","Main",16.79,6.74,8.23,5.13,10.23,4.29,5.2,1.91,5.34,12.92,6.62,3.97,2.85,2.1,2.1,4.4,"USA",28.62444,-81.54361,483.452696465651,33.0999984741211,9,50.0331395782968,532,171,39
31008,"UF","Lasiurus","cinereus","cinereus","M","Recent","USA","Florida","Main",16.71,6.75,8.38,5.19,9.92,4.11,4.93,1.85,5.34,12.52,6.45,3.6,2.84,1.99,2.08,4.1,"USA",30.27420366,-85.9019606,626.211560989971,33.9000015258789,5,29.2676952763332,567,297,15
276572,"USNM","Lasiurus","cinereus","cinereus","F","Recent","USA","Georgia","Main",16.92,6.36,8.98,5.36,10.38,4.46,5.46,2.01,4.91,13.94,7.35,3.76,2.9,1.82,1.7,4.77,"USA",30.70361884,-84.19106303,629.693741873956,33.9000015258789,3.59999990463257,25.1606510248779,470,256,83
15345,"USNM","Lasiurus","cinereus","cinereus",NA,"Recent","USA","Georgia","Main",16.53,6.17,8.49,5.4,10.53,4.13,5.23,2.02,5.05,12.58,6.22,3.95,2.86,2.01,1.79,4.28,"USA",32.07293897,-81.03138475,649.087939216133,33.7000007629395,4.5,35.686251172227,474,215,2
78358,"ROM","Lasiurus","cinereus","cinereus","F","Recent","USA","Indiana","Main",17.01,6.57,9.36,5.04,10.08,4.59,5.13,1.93,5.18,12.57,7.2,3.84,2.99,2.09,1.61,4.07,"USA",41.05,-86.616667,1010.70856607955,28,-11.6000003814697,25.3799877963242,303,156,220
78359,"ROM","Lasiurus","cinereus","cinereus","F","Recent","USA","Indiana","Main",17.46,6.53,8.99,5.03,10.41,4.43,5.07,1.96,5.25,13.13,7.14,3.96,3.12,1.73,1.92,4.18,"USA",40.3,-86.916667,1003.28427457077,28.6000003814697,-10.6999998092651,24.8145077064713,302,167,215
78360,"ROM","Lasiurus","cinereus","cinereus","M","Recent","USA","Indiana","Main",17.22,6.99,9.04,5.49,10.54,4.5,5.23,1.99,5.14,12.58,7.05,4.11,2.96,2.06,1.95,4.05,"USA",40.4166667,-86.9,1008.17144110855,28.7000007629395,-10.3999996185303,25.8948517301587,296,159,165
617,"MNCN","Lasiurus","cinereus","cinereus","F","Recent","USA","Kansas","Main",16.76,6.62,9.09,5.1,10.06,4.13,4.97,1.9,5.09,12.71,7.17,3.47,3.08,1.78,1.86,3.98,"USA",38.97160622,-95.20112106,1015.6826075888,32.0999984741211,-8.19999980926514,44.3367375231884,373,103,253
